month_year,P1,P3,P4,P5,P6,P8,P9,P11,P12,P13,P14,P16,P20,P36,Sales_EUR,P1%Change,P3%Change,P4%Change,P5%Change,P6%Change,P8%Change,P9%Change,P11%Change,P12%Change,P13%Change,P14%Change,P16%Change,P20%Change,P36%Change,Sales_EUR%Change,Consumer Price
2018-10,36098918.79,8089465.960000001,397760.69,2499061.19,369231.6,586052.74,3219.32,1021303.5,28686.33,27666.1,5770.0,333196.87,4563.14,6474.6,49471370.83,,,,,,,,,,,,,,,,99.1
2018-11,5140760.0,11863001.51,371322.42,8993944.040000001,473046.95999999996,526292.77,1875.9,1898844.8,1070.0,68180.0,17130.0,1377694.32,5798.139999999999,21617.61,30760578.47,-0.8575924107338063,0.46647523688943227,-0.06646777991057895,2.598929100251443,0.2811659673765734,-0.10197029366333132,-0.41729930544338556,0.8592365540703621,-0.9627000037997192,1.4643878248108697,1.968804159445407,3.134775695822113,0.2706469667816458,2.3388332869984243,-0.37821455209511934,98.5
2018-12,37889612.120000005,8736859.39,430100.96,6947507.3100000005,999472.6900000002,271490.71,7343.964523809524,1226122.0,17880.6,15655.18,12662.104102564103,4762524.66,918.65,13924.52,61312068.79000001,6.370430076486746,-0.26352033398670616,0.15829515492223734,-0.2275349636264804,1.1128403192782388,-0.48414508905375997,0.0,-0.3542800338395218,15.710841121495324,-0.7703845702552068,0.0,2.4568805219433583,-0.8415612593003963,-0.35587143999729853,0.9932027237327832,98.5
2019-01,27728148.35,10705300.629999999,484173.88,8233205.069999999,598874.1,381400.15,1487.0,2216391.74,21484.0,27198.29,1686.4,942957.19,2398.04,15444.39,51360149.230000004,-0.2681860067033065,0.22530306968806535,0.12572145851522865,0.18505885674267808,-0.4008099410900363,0.4048368358534258,-0.20731382269843812,0.8076437255020301,0.2015256758721744,0.737334862965485,-0.9015528312901343,-0.8020047648425195,1.6103956893267295,0.10915062063180625,-0.16231583367519897,97.7
2019-02,34793163.53,10167796.86,620031.8,6879250.989999999,542037.52,368475.57,3234.2799999999997,610456.6,34214.74,32638.63,19196.3,257765.04,620.66,8051.15,54336933.669999994,0.2547957797549796,-0.050209124299949726,0.28059737547180363,-0.16445042586556147,-0.09490572392427721,-0.03388719170666299,1.1750369872225956,-0.7245718845712716,0.5925684230124744,0.20002507510582457,10.383005218216319,-0.7266418425633936,-0.7411802972427483,-0.4787006803117507,0.057959030194196126,98.1
2019-03,33856803.04,11040544.57,491643.59,11914313.63,735604.23,591288.36,13050.61,493999.81,10118.0,11890.0,7535.25,2258352.2199999997,3369.55,7373.419999999999,61435886.279999994,-0.026912197541124283,0.08583449512385322,-0.20706713752423667,0.7319201824906816,0.3571094303582527,0.6046880937045569,3.0350897263069374,-0.1907699744748439,-0.7042795005895119,-0.6357077487627392,-0.6074634174294005,7.761282057489254,4.428978828988496,-0.08417803667799018,0.13064691233983639,98.5
2019-04,39688292.010000005,12317479.75,426221.33999999997,5714462.4799999995,277575.12,418899.9,9119.65,1484281.6,21813.27,7488.54,12662.104102564103,224501.9,3619.63,4280.25,60598035.44000001,0.1722397995791396,0.11565871338174394,-0.133068449036425,-0.5203699803897139,-0.6226569822742862,-0.29154719027447107,-0.301208909008851,2.0046197791047735,1.1558875271792846,-0.37018166526492846,0.0,-0.9005903959480687,0.07421762549895394,-0.4195027544884191,-0.013637808302811694,99.4
2019-05,38897974.29,12798945.18,375671.57,11389673.26,315978.77,298806.83999999997,4614.08,1066063.9,24468.0,2550.3100000000004,17771.4,353451.54,938.9,16905.32,65563813.36,-0.019913119964972914,0.03908798226357946,-0.11859981013620757,0.9931311649805425,0.13835407870849536,-0.2866867717084679,-0.49405075852691716,-0.2817643902612551,0.12170252328055353,-0.6594382883712979,1.3584353538369665,0.5743810631446771,-0.7406088467605805,2.9496104199521054,0.08194618660396591,99.6
2019-06,39106750.230000004,11546452.19,190721.15,13681879.16,282963.19,420707.73,4488.09,492133.2,44255.68,34849.21,63017.71,367425.38,772.94,15516.22,66251932.080000006,0.00536727024506467,-0.09785907919639991,-0.49231944807534944,0.20125299889419312,-0.10448670333136623,0.40795883387408405,-0.027305551702614506,-0.5383642575271519,0.8087166911884911,12.664695664448633,2.546018321572864,0.03953537732499357,-0.17676003834274145,-0.08216939992854322,0.010495404167870204,99.9
2019-07,37912572.3,13421550.83,381274.95999999996,11145039.030000001,725411.99,366980.26,1766.4,585648.14,21318.48,43008.350000000006,20719.3,266225.86,577.6,33334.41,64925427.90999999,-0.030536363235928454,0.16239608575385267,0.9991225933778187,-0.1854160602014847,1.563626703529883,-0.12770735160963165,-0.6064250048461595,0.19001957193702834,-0.5182882739571508,0.23412697160136497,-0.671214647437998,-0.2754287686931154,-0.25272336791989036,1.1483589430930992,-0.020022120538284782,100.3
2019-08,38042677.05,11359418.3,301973.43,7645745.289999999,206931.16999999998,397537.2,6371.5,2898779.87,19217.0,22497.6,1602.0,725678.3299999998,284.4,1306.0,61630019.13999999,0.0034317046327136946,-0.1536433871256292,-0.20799039622219084,-0.31397770170034134,-0.714739799103679,0.0832658955552541,2.607053894927536,3.9496953409601883,-0.09857550819758254,-0.47690157841442427,-0.9226807855477743,1.7257995523049483,-0.5076177285318559,-0.9608212654731252,-0.05075682788826763,100.2
2019-09,40602780.63999999,16579668.11,443349.32,15018604.629999999,499147.73,1084685.92,13930.26,3749980.46,292490.4,19601.050000000003,12851.2,752884.16,664.57,16582.55,79087220.99999999,0.06729556878016818,0.4595525644125631,0.46817327603955095,0.9643087835587576,1.41214375775288,1.7285142623130612,1.1863391666012713,0.2936409897175116,14.220398605401469,-0.12874928881302872,7.021972534332086,0.03749020588777974,1.3367440225035163,11.697205206738131,0.2832580957072861,100.2
2019-10,39012299.19,11382774.45,93226.31999999999,11542647.469999999,581767.85,111791.34,555.0,218976.78,140819.69,65754.55,1378.5500000000002,285644.67,1566.0,1556.5,63440758.35999999,-0.0391717371305631,-0.3134498004134053,-0.7897226503020237,-0.231443416058553,0.1655223795167815,-0.8969366726913907,-0.9601586761481838,-0.9416058877277457,-0.5185493609362906,2.354644266506131,-0.8927298618027888,-0.6205994425490371,1.356410912319244,-0.9061362697534456,-0.19783806337056653,100.2
2019-11,37323903.07,13826060.48,298011.68,8104241.69,181159.2,542923.42,24181.8,1194770.75,320942.27999999997,43190.76,2571.3,291844.03,149.0,14921.72,62168871.18,-0.04327855971208139,0.2146476714207406,2.1966474703710284,-0.29788709989944784,-0.6886056869591539,3.856578514936846,42.57081081081081,4.456152702583352,1.279100884258444,-0.3431517666838264,0.8652207029124803,0.02170304805617418,-0.9048531289910601,8.586713780918727,-0.02004842333035428,99.5
2019-12,37701509.370000005,11077603.56,275968.15,13494692.75,913378.8,491332.72000000003,7611.36,1278545.62,349515.29,26729.760000000002,12662.104102564103,66419.16000000003,2061.233157894737,5906.37,65689212.91,0.010117009983972247,-0.19878814532713518,-0.07396867800617735,0.6651394746347945,4.041857106898242,-0.0950238985822347,-0.6852442746197553,0.070117945220872,0.08902850070112289,-0.3811231846811679,0.0,-0.7724155604622098,0.0,-0.6041763281980898,0.05662547289635378,100
2020-01,34116651.47,11699896.34,218623.48,7184359.3100000005,-15202.959999999977,323769.2,7647.5,584370.0,213315.32,19519.59,2955.22,384800.46,274.90999999999997,11840.670000000002,54752820.510000005,-0.09508526209968038,0.05617575828828447,-0.20779452266502496,-0.4676159403481046,-1.0166447480497687,-0.3410387974975492,0.00474816589939242,-0.5429416120482271,-0.3896824370687759,-0.26974316267710596,0.14930968770660735,4.793515907156908,0.8450335570469796,1.0047287928118291,-0.16648688445976378,99.8
2020-02,33505879.26,10041616.85,225262.14,12424406.63,724398.75,326973.94,425.1,1233609.73,324443.35,13747.169999999998,10900.0,82821.54000000001,2061.233157894737,11813.4,58926297.86000001,-0.01790246649900773,-0.1417345454874347,0.03036572284001693,0.7293687709502936,-48.64853357504072,0.00989822379645755,-0.9444132069303695,1.1110079743997807,0.5209566289003527,-0.29572444913033535,2.6883886817225116,-0.7847675649867987,0.0,-0.002303079133191166,0.07622397003708259,100.1
2020-03,39064430.88,12281515.46,197670.48,9232237.68,529808.94,845857.76,2233.0,2969948.65,185833.89,23513.59,10325.15,160397.35,555.0,28300.82,65532628.650000006,0.16589779891661927,0.22306154909704623,-0.12248689460199569,-0.2569272758903578,-0.2686225093568978,1.5869271416553872,4.252881674900023,1.4075269331735898,-0.42722237950014996,0.7104313105897435,-0.05273853211009183,0.9366622499412591,1.018842530282638,1.395654087730882,0.1121117570578698,100.3
2020-04,37981531.31999999,12008066.85,387939.98000000004,7990825.32,782042.98,302765.68,1476.85,813303.01,79632.0,30716.11,-2851.45,70530.7,224.0,27121.6,60473324.95,-0.027720858479329036,-0.022265054413732832,0.9625590022344257,-0.1344649480471347,0.4760849071365236,-0.6420607644481502,-0.3386251679355128,-0.7261558680484257,-0.5714882791292805,0.30631307256782137,-1.2761654794361341,-0.5602751541718114,-0.5963963963963964,-0.04166734391441662,-0.07720281948433638,100.4
2020-05,31400212.54,10708632.18,315488.98,9872426.57,750367.7,712746.38,3764.12,842526.1,153949.24,3762.8199999999997,32670.0,195141.7,390.0,9649.3,55001727.629999995,-0.1732768151065689,-0.10821347734252496,-0.1867582712150474,0.23547020171878819,-0.04050324702102692,1.3541188023688817,1.5487490266445474,0.03593136831007171,0.9332584890496283,-0.8774968575122306,-12.457328727489523,1.7667625587155666,0.7410714285714286,-0.6442208424281753,-0.09047951844096525,100.4
2020-06,30896804.07,13321842.36,329430.96,15873894.909999998,526425.18,599831.93,7555.45,2246948.0,172712.88,9612.8,8756.45,269150.4,983.1,146778.15,64410726.64,-0.016032008361686056,0.24402838159672413,0.044191654491386734,0.6079020489488429,-0.29844370966394196,-0.1584216394055905,1.0072287812290788,1.6669179744105258,0.12188199175260639,1.5546797348796915,-0.7319727578818488,0.3792562020316519,1.5207692307692309,14.211274392961148,0.17106733579888478,100.5
2020-07,35212730.13,12774946.290000001,294293.79,5590709.71,730187.6799999999,583157.61,943.3900000000001,2105975.71,110275.2,6745.2,14793.0,409170.11,826.98,3849.6,57838604.400000006,0.13968843024093403,-0.04105258531223144,-0.10666019368671376,-0.6478047926046147,0.3870683009501936,-0.027798320106100505,-0.8751378144253485,-0.0627394536945225,-0.3615114286786255,-0.298310585885486,0.6893832546294445,0.5202285042117714,-0.15880378394873362,-0.9737726630292043,-0.10203459241707435,99.7
2020-08,37482085.58,11373503.08,172952.24,11463705.639999999,847092.87,916909.76,9907.2,1521580.0699999998,164108.2,25689.64,6919.4,153289.44,2688.0,12377.77,64152808.88999999,0.06444701792851282,-0.10970247374715192,-0.4123143407137473,1.0504920188388747,0.1601029340840152,0.5723189482171038,9.501701311228654,-0.2774940077537742,0.4881695975160327,2.808580916800095,-0.5322517406881633,-0.625365010166554,2.250380904012189,2.2153392560266005,0.1091693784022214,99.7
2020-09,38879360.2,15912683.17,645058.0,14160091.05,316929.21,1337657.62,2893.35,3891447.7600000002,168634.8,15314.86,2219.8,209186.6,2047.7,44867.100000000006,75588391.21999998,0.03727846512216426,0.39910131980199015,2.7296886123012922,0.23521062862880715,-0.6258624984058714,0.45887597488328624,-0.7079548207364341,1.55750442367453,0.02758302144560698,-0.4038507351601657,-0.6791918374425527,0.36465108098770527,-0.2382068452380952,2.6248128701696674,0.17825536446281065,99.7
2020-10,41453854.5,10003848.44,332603.83999999997,4647204.31,313535.91000000003,153873.52,39510.75,973837.23,5395.0,9524.88,13799.0,145276.08000000002,7355.75,22372.49,58121991.7,0.0662175068405575,-0.3713286230156244,-0.4843814974777463,-0.6718097155173307,-0.010706807365594262,-0.8849679337228311,12.65571050858002,-0.7497493760522691,-0.9680077896140061,-0.378062874880998,5.216325795116677,-0.3055191871754691,2.5922010060067393,-0.5013609081041566,-0.23107251309482213,99.9
2020-11,37643611.57,15021617.790000001,413558.14,10164873.57,335130.74,904436.89,-4358.099999999999,488891.95999999996,445648.06000000006,20663.64,1750.0,160941.78,2979.54,4126.99,65603872.57000001,-0.09191528691258377,0.5015839034442631,0.24339556632899995,1.1873093782700508,0.06887514096870095,4.8777942429600625,-1.1103016267724606,-0.4979736398042618,81.60390361445783,1.1694383551288836,-0.8731792158852091,0.10783399441945285,-0.5949372939537096,-0.815532826252241,0.1287271934626426,99.7
2020-12,34816959.18,9755535.99,303249.58999999997,8845742.299999999,332556.98,1061969.46,8606.5,1096370.71,271024.19,31216.71,11772.45,260089.25,8485.6,12105.42,56815684.330000006,-0.07508982991028135,-0.35056688790908186,-0.2667304529418767,-0.12977350489564443,-0.007679868459694261,0.17417751502816303,-2.974828480301049,1.2425623649036899,-0.39184254498942517,0.5107072132499404,5.727114285714286,0.6160455662911146,1.8479563959537382,1.9332322104003161,-0.13395837617090234,99.8
2021-01,27180432.94,3804319.7399999998,165265.96999999997,1405295.36,27472.940000000002,305820.25999999995,625.5,18200.0,92754.01,10118.36,3028.0,40360.08,2061.233157894737,3950.1,33057643.259999998,-0.21933352078565982,-0.610034779852214,-0.455016674548513,-0.8411331336206798,-0.9173887734968005,-0.7120253721797236,-0.9273223726253413,-0.9833997754281487,-0.6577648290361093,-0.6758671877978173,-0.742789308937392,-0.8448221908441045,0.0,-0.6736916191259783,-0.4181599033817359,101
2021-02,34630522.81,16136114.379999999,807758.79,16650952.72,515644.63,1615468.03,10022.4,1978335.55,287890.61,16729.8,2966.82,117004.3,1387.0,10454.4,72781252.24,0.27409754239183215,3.2415242363408705,3.887629256041036,10.84872105462584,17.769182693952665,4.282410099317816,15.023021582733811,107.6997554945055,2.103807695214471,0.6534102364414784,-0.020204755614266823,1.8990106065201058,-0.8365466201565004,1.6466165413533833,1.201646731667223,101.6
2021-03,33476138.64,14128552.8,451955.41000000003,11102204.58,625100.14,899610.15,28108.88,1660211.1600000001,282688.33999999997,63092.75,15818.779999999999,309564.27,1076.6,11436.0,63055558.50000001,-0.03333429807957333,-0.12441418873978005,-0.4404822137559159,-0.33323907846637624,0.21226927157178,-0.4431272341551693,1.8046056832694766,-0.16080406076714326,-0.01807030107720431,2.7712793936568283,4.331897452491219,1.6457512245276456,-0.22379235760634475,0.09389348025711675,-0.13362910695640418,102.1
2021-04,41257397.9,13461271.93,295958.92,7085482.52,592478.95,1070486.79,16713.96,1206734.3399999999,385267.16000000003,38125.2,5629.0,125710.70999999999,8414.0,253519.03999999998,65803190.419999994,0.23244195944099477,-0.047229244172835694,-0.3451590279669404,-0.36179499585477826,-0.05218554262361874,0.18994521126734742,-0.4053850598102806,-0.273144061987874,0.36286894606264997,-0.3957277183194583,-0.6441571347474331,-0.5939107895106888,6.815344603381015,21.168506470793982,0.04357477731324799,102.4
2021-05,37760015.28,10298079.41,573707.27,8767595.73,566508.34,813607.01,8026.0,1994228.4,379881.93,4130.0,2183.85,218701.06,419.21,12775.490000000002,61399858.980000004,-0.08476983033387075,-0.2349846683470126,0.9384692645857744,0.23740277465253,-0.04383381046702162,-0.23996538995123895,-0.5198026081192009,0.6525827880227559,-0.013977910808697147,-0.8916726994219046,-0.6120358855924676,0.7397170058143814,-0.9501770858093653,-0.9496073746571461,-0.06691668613474488,102.6
2021-06,35801398.47,13650393.45,829442.33,11687229.03,490262.94,1091239.79,7240.84,991872.24,326883.32,6015.04,8266.9,186607.11000000002,1766.6,24733.07,65103351.13,-0.05187012758009679,0.32552808213390927,0.4457587926330442,0.3330027284458288,-0.1345883098561267,0.3412369566481488,-0.0978270620483429,-0.5026285655143613,-0.13951337458983637,0.45642615012106535,2.7854706138242094,-0.1467480313081243,3.2141170296510104,0.9359781894862738,0.06031760026039068,102.9
2021-07,37130004.21,13288195.239999998,434669.61,8321886.38,499338.64,1207554.52,11295.75,2253079.74,363685.44,8419.83,76161.44,103935.84,842.9300000000001,17159.27,63716228.84,0.03711044251842055,-0.02653390258139421,-0.4759495696343349,-0.28795043216501415,0.01851190302085648,0.10658952419614387,0.5600054689787373,1.271542290567584,0.11258488196950522,0.39979617758152886,8.212817380154593,-0.4430231516902009,-0.522851805728518,-0.3062215891516904,-0.021306465272888264,103.4
2021-08,36310817.42,12385755.66,255407.75,19524640.52,529725.46,1093379.99,432.0,2715460.08,143436.63,10814.57,12662.104102564103,323548.03,377.22,9233.4,73303028.72999999,-0.022062663536659977,-0.06791287783637334,-0.41240946198194073,1.3461796554833523,0.06085413297877351,-0.09455020714095796,-0.9617555275214129,0.20522147165550386,-0.6056024953872226,0.2844166687450933,0.0,2.1129592063719316,-0.5524895305660019,-0.46190018573051184,0.1504608804465457,103.5
2021-09,36278886.58,15874712.26,323380.87,15629190.799999999,947905.3899999999,2036355.01,9259.2,3795389.85,423432.68,28682.589999999997,-561.2500000000005,186586.24,2061.233157894737,26729.61,75559949.83,-0.0008793754112077501,0.28169105670860617,0.2661356987013903,-0.1995145424577579,0.7894276593766136,0.8624403488488939,20.433333333333334,0.3976967947177481,1.9520540185585786,1.652217332727977,-1.007369214657706,-0.42331208136238696,0.0,1.8948827084280984,0.030788920172903245,103.8
2021-10,44483013.86000001,13797043.98,344985.73,11472426.01,196463.81,356322.55,937.04,173771.79,217388.43,30506.15,16534.2,141037.06,151.49,674.0,71231256.10000001,0.22614054766837355,-0.13087911427756482,0.06680933228981667,-0.26596161267671004,-0.7927390095334303,-0.825019435093491,-0.8987990323138069,-0.9542150353803576,-0.48660450582132675,0.06357724319874891,-30.459599109131382,-0.24411864454742216,-0.5984041143099518,-0.9747845179933414,-0.05728820280769087,104.3
2021-11,34187395.6,18686819.85,290506.87,9606371.14,386462.95999999996,1140720.52,14035.58,1832753.73,428753.94000000006,8136.92,5951.849999999999,230129.08000000002,928.8,5139.4800000000005,66824106.31999999,-0.23145055531540826,0.35440750041009883,-0.1579162709135824,-0.16265564653661246,0.9670949066904484,2.2013705559751973,13.978634850166483,9.54690021895959,0.9722942016739349,-0.7332695210637855,-0.6400279420836812,0.6316922658484232,5.13109776222853,6.625341246290802,-0.06187101030217568,104.5
2021-12,33950069.83,12376414.580000002,199188.75,8656479.64,190074.96,2655036.7800000003,14935.2,2645689.71,322647.82,24868.86,17427.6,271111.39,156.0,48933.5,61373034.62,-0.006941908438325206,-0.3376928402293127,-0.3143406556960253,-0.098881407573849,-0.508167716771615,1.327508564499217,0.06409567684413475,0.4435598556932141,-0.24747555672607935,2.0562989435806176,1.9280979863403815,0.1780840126767116,-0.8320413436692506,8.521099410835337,-0.08157343210691814,104.7
2022-01,37942942.06,13754291.32,283630.81,7731408.33,157670.31,1208090.29,2064.7,1054580.98,147680.18,37972.81,2820.0,91021.89,2061.233157894737,6014.39,62420188.07000001,0.11761013305697832,0.11133084877639887,0.4239298655170034,-0.10686460876375381,-0.17048352923499233,-0.5449817120800866,-0.861756119770743,-0.6013965749596539,-0.5422867571211236,0.5269220221594395,-0.8381877022653721,-0.6642638658597118,0.0,-0.8770905412447505,0.01706210971126998,105.2
2022-02,36293076.33,15665217.47,245306.13,7675455.55,391088.3,1239171.41,901.5,964672.3200000001,312165.52,33449.25,4410.0,45696.76,589.5,29869.5,62901069.54,-0.043482809724955884,0.1389330868120655,-0.13512170980296534,-0.00723707474909685,1.4804181586247913,0.025727481014684583,-0.5633748244296992,-0.08525533999295143,1.1137942816700255,-0.11912629062742519,0.5638297872340425,-0.49795856798842564,2.7788461538461537,3.9663390634794213,0.007703941382885882,106
2022-03,40220407.03,14320304.55,406399.83,14739187.18,316132.20999999996,1873520.38,4452.6,2284958.4000000004,343523.42,12149.4,46100.24,98729.91,2885.08,2564.85,74671315.08,0.10821156807679189,-0.08585344714017562,0.6567047468402034,0.9203012881756576,-0.19166027211757553,0.511913819896797,3.9391014975041605,1.3686368444779262,0.10045279824626352,-0.6367810937464966,9.453569160997732,1.1605450802201296,3.894113655640373,-0.9141314719027771,0.18712313838344308,108.1
2022-04,41053203.120000005,11999374.51,302057.04,8884607.530000001,333705.61,1336220.96,3285.0,1126268.66,178141.0,17020.04,1846.2,134071.24,6280.629999999999,17029.47,65393111.010000005,0.020705809600057634,-0.1620726732379446,-0.2567490985416998,-0.39721183933020643,0.05558876775004995,-0.28678600229584905,-0.26222881013340527,-0.5070944573870579,-0.4814298250756819,0.400895517474114,-0.9599524861475776,0.3579597104869232,1.1769344350936541,5.639557868881222,-0.12425392615704811,108.8
