product_id,winsorize,features,metrics,method,best_params,validation_predictions,feature_importances
P11,True,['MAB_ELE_SHP276'],"{'RMSE': 626291.734648009, 'MAPE': 105.37935319277013, 'R2': 0.44148552361083804, 'Overfit Score': -0.16329550453003377}",walkforward,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.9}","[1222565.625, 1469502.0, 2246860.0, 2168567.75, 852417.1875, 2274908.25, 1213771.5]",{'MAB_ELE_SHP276': 1.0}
P16,False,"['P16_lag_3', 'P16_lag_8', 'P16_lag_10', 'P16_ma_3', 'P16_ma_7', 'P16_ma_8', 'P16_ma_9', 'P16_ma_10']","{'RMSE': 56763.36900126693, 'MAPE': 53.90298105626825, 'R2': 0.45271972224925494, 'Overfit Score': 4.0352674983269585}",walkforward,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}","[155784.453125, 234545.828125, 217610.03125, 150068.3125, 155862.8125, 51237.8125, 167931.421875]","{'P16_lag_3': 0.03334086, 'P16_lag_8': 0.0713965, 'P16_lag_10': 0.12336791, 'P16_ma_3': 0.14022194, 'P16_ma_7': 0.59331197, 'P16_ma_8': 0.025533924, 'P16_ma_9': 0.009630987, 'P16_ma_10': 0.003195826}"
P3,True,"['P3_lag_12', 'P3_ma_12']","{'RMSE': 1142677.4784820247, 'MAPE': 6.919101158853191, 'R2': 0.278239086979544, 'Overfit Score': -0.1395645487892922}",walkforward,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 50, 'subsample': 0.9}","[13379351.0, 15463773.0, 13932425.0, 13361663.0, 15952050.0, 15561475.0, 15220521.0]","{'P3_lag_12': 0.5673661, 'P3_ma_12': 0.43263388}"
P14,True,"['PRO27392_org', 'PRO28380_org']","{'RMSE': 12716.062930380322, 'MAPE': 36.16248442613973, 'R2': 0.3435406663794892, 'Overfit Score': 4.409454479055409}",walkforward,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.9}","[15584.1953125, 4189.7177734375, 4370.18505859375, 1738.622314453125, 5351.35791015625, 19332.595703125, 2365.0185546875]","{'PRO27392_org': 0.46613783, 'PRO28380_org': 0.5338622}"
P8,True,"['P8_lag_10', 'PRI27840_org', 'RohCOPPER1000_org', 'P8_ma_1', 'P8_ma_2', 'P8_ma_5', 'P8_ma_6', 'P8_ma_10']","{'RMSE': 108604.75287466751, 'MAPE': 4.048184258902813, 'R2': 0.9549130633612553, 'Overfit Score': 6.759797084467768}",walkforward,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.9}","[368905.375, 1191174.75, 1890882.5, 1259612.625, 1266040.25, 1743376.875, 1379176.25]","{'P8_lag_10': 0.01589855, 'PRI27840_org': 0.039296027, 'RohCOPPER1000_org': 0.000489684, 'P8_ma_1': 0.94431573, 'P8_ma_2': 0.0, 'P8_ma_5': 0.0, 'P8_ma_6': 0.0, 'P8_ma_10': 0.0}"
P6,False,[],"{'RMSE': 113093.30866383947, 'MAPE': 36.19404805173686, 'R2': -0.33920758595260425, 'Overfit Score': 1.0149024650122629}",walkforward,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}","[407610.46875, 548850.625, 339284.59375, 177794.1875, 369846.5, 396882.03125, 413675.5]",{}
P36,True,['PRO27756_org'],"{'RMSE': 17449.400028341985, 'MAPE': 291.9775860159612, 'R2': -0.02280720046962026, 'Overfit Score': -0.3049225601759958}",walkforward,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}","[14584.2275390625, 15201.5908203125, 14348.1640625, 14015.1162109375, 22893.494140625, 21764.91796875, 16631.80859375]",{'PRO27756_org': 1.0}
P13,False,"['P13_lag_8', 'P13_ma_17', 'P13_ma_5', 'P13_ma_8']","{'RMSE': 10281.045635617145, 'MAPE': 38.14609113444202, 'R2': 0.11382843162175127, 'Overfit Score': -0.07688215206832962}",walkforward,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}","[14575.7333984375, 16330.2734375, 15042.9658203125, 24348.125, 34989.22265625, 16705.978515625, 16483.220703125]","{'P13_lag_8': 0.08143915, 'P13_ma_17': 0.0, 'P13_ma_5': 0.8254354, 'P13_ma_8': 0.0931255}"
P20,False,"['PRO27250_org', 'PRO28392_org']","{'RMSE': 685.6289135793131, 'MAPE': 3.2299483296941433e+19, 'R2': 0.912671555941474, 'Overfit Score': -0.19664855376311371}",walkforward,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 50, 'subsample': 0.9}","[479.9949035644531, 548.92724609375, 649.8433227539062, 502.0348205566406, 225.91366577148438, 2093.183837890625, 5689.0361328125]","{'PRO27250_org': 0.48802555, 'PRO28392_org': 0.51197445}"
P5,False,['PRO27826_org'],"{'RMSE': 1331522.0652643691, 'MAPE': 9.681328982973072, 'R2': 0.7289186392830693, 'Overfit Score': -0.5323841378287786}",walkforward,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 50, 'subsample': 0.9}","[10535787.0, 10650543.0, 8753358.0, 8814764.0, 9763108.0, 13333168.0, 9510825.0]",{'PRO27826_org': 1.0}
Sales_CPI,True,"['PRI27276_org', 'PRO27826_org']","{'RMSE': 3708435.168920333, 'MAPE': 4.715251916203674, 'R2': 0.408639787125308, 'Overfit Score': -0.27068387894628915}",walkforward,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}","[68987504.0, 73446504.0, 66406920.0, 68812544.0, 66280608.0, 74254664.0, 66879712.0]","{'PRI27276_org': 0.47724086, 'PRO27826_org': 0.52275914}"
P9,False,"['P9_lag_12', 'PRO27826_org', 'PRO271000_org', 'PRO28250_org', 'MAB_ELE_PRO156']","{'RMSE': 4008.9303147837054, 'MAPE': 111.62855862250038, 'R2': 0.5322682743426967, 'Overfit Score': 0.03363952374004664}",walkforward,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 50, 'subsample': 0.9}","[2785.006591796875, 21136.900390625, 11119.609375, 7446.02490234375, 2500.978271484375, 8664.4716796875, 2183.835693359375]","{'P9_lag_12': 0.1977397, 'PRO27826_org': 0.2058079, 'PRO271000_org': 0.32995924, 'PRO28250_org': 0.17148145, 'MAB_ELE_PRO156': 0.09501167}"
P4,False,['PRO27276_org'],"{'RMSE': 54778.42668433725, 'MAPE': 16.117622955784984, 'R2': 0.35178388787019976, 'Overfit Score': -0.5468284014585012}",walkforward,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 50, 'subsample': 1.0}","[359755.59375, 320719.34375, 276922.34375, 264475.46875, 357907.9375, 455977.34375, 399547.03125]",{'PRO27276_org': 1.0}
P1,True,"['P1_lag_6', 'P1_lag_18', 'P1_ma_6', 'P1_ma_18']","{'RMSE': 1756694.255783001, 'MAPE': 4.293774572543708, 'R2': 0.5800681579115425, 'Overfit Score': 22.354837108933506}",walkforward,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.9}","[40688280.0, 37577068.0, 36843508.0, 38679248.0, 36524668.0, 39421652.0, 40704964.0]","{'P1_lag_6': 0.30282173, 'P1_lag_18': 0.18046999, 'P1_ma_6': 0.30943987, 'P1_ma_18': 0.20726843}"
P12,False,"['P12_lag_12', 'P12_lag_18', 'P12_ma_1', 'P12_ma_12', 'P12_ma_18']","{'RMSE': 17858.28383513728, 'MAPE': 5.40577278609329, 'R2': 0.9665660806073652, 'Overfit Score': 2.0481026647136757}",walkforward,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.9}","[206574.796875, 438888.53125, 344592.125, 165252.1875, 304124.25, 342074.4375, 188863.828125]","{'P12_lag_12': 0.018296111, 'P12_lag_18': 0.070963286, 'P12_ma_1': 0.8362892, 'P12_ma_12': 0.015341099, 'P12_ma_18': 0.059110217}"
